Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,timestamp,source_ip
80,5759666,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.694484715,1919888.667,3324529.803,5758725,132,5759666,2879833.0,4071368.111,5758725,941,0,0.0,0.0,0,0,104,40,0.520863536,0.173621179,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:35:59.666,192.168.1.217
80,5337354,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.74943502,1779118.0,3080919.156,5336657,133,5337354,2668677.0,3773093.5,5336657,697,0,0.0,0.0,0,0,104,40,0.562076265,0.187358755,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:28:57.354,192.168.1.29
80,5728435,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.698270994,1909478.333,3306706.415,5727734,99,5728435,2864217.5,4049623.87,5727734,701,0,0.0,0.0,0,0,104,40,0.523703245,0.174567748,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:35:28.435,192.168.1.130
8080,1029290,3,0,0,0,0.0,0.0,6,6,6.0,0.0,17.48778284,5.829260947,205858.0,281181.6107,515124,466,1028707,514353.5,1782.616195,515614,513093,1028824,514412.0,1831.406563,515707,513117,92,60,2.914630473,2.914630473,0,6,2.571428571,3.207134903,10.28571429,0,1,0,3.0,0,8192,0,0,28,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:17:09.290,192.168.1.32
21,229,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,61135.37118,13100.43668,114.5,88.38834765,177,52,229,229.0,0.0,229,229,0,0.0,0.0,0,0,64,20,8733.624454,4366.812227,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force,2025-10-12 00:00:00.229,192.168.1.14
21,232,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,60344.82759,12931.03448,116.0,80.61017306,173,59,232,232.0,0.0,232,232,0,0.0,0.0,0,0,64,20,8620.689655,4310.344828,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force,2025-10-12 00:00:00.232,192.168.1.4
80,98970545,7,760,380,0,108.5714286,185.4210139,5792,0,1932.5,2181.008184,124.8351214,0.131352212,8247545.417,28500000.0,98600000,8,98800000,16500000.0,40200000.0,98600000,8,356471,71294.2,102310.1453,221916,15,232,200,0.070728114,0.060624098,0,5792,882.5,1654.291238,2736679.5,0,0,1,950.3846154,760,251,235,2,32,451.0,451,451,98600000.0,98600000,98600000,DoS,2025-10-13 03:29:30.545,192.168.1.103
80,872181,3,26,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,13330.94851,9.172408021,124597.2857,317773.39,844916,25,27005,13502.5,17678.37664,26003,1002,872001,218000.25,418133.7791,844916,45,72,112,3.439653008,5.732755013,0,5840,1291.888889,2110.95076,4456113.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:14:32.181,192.168.1.35
80,5678362,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.704428495,1892787.333,3277806.282,5677672,90,5678362,2839181.0,4014232.469,5677672,690,0,0.0,0.0,0,0,104,40,0.528321372,0.176107124,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:34:38.362,192.168.1.205
54352,43,3,43,31,6,14.33333333,14.43375673,0,0,0.0,0.0,1000000.0,69767.44186,21.5,27.57716447,41,2,43,21.5,27.57716447,41,2,0,0.0,0.0,0,0,60,0,69767.44186,0.0,6,31,12.25,12.5,156.25,0,0,1,16.33333333,43,32,-1,2,20,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.043,192.168.1.254
