'Flow Duration','Tot Fwd Pkts','Tot Bwd Pkts','TotLen Fwd Pkts','TotLen Bwd Pkts','Fwd Pkt Len Max','Fwd Pkt Len Min','Fwd Pkt Len Mean','Fwd Pkt Len Std','Bwd Pkt Len Max','Bwd Pkt Len Min','Bwd Pkt Len Mean','Bwd Pkt Len Std','Flow Byts/s','Flow Pkts/s','Flow IAT Mean','Flow IAT Std','Flow IAT Max','Flow IAT Min','Fwd IAT Tot','Fwd IAT Mean','Fwd IAT Std','Fwd IAT Max','Fwd IAT Min','Bwd IAT Tot','Bwd IAT Mean','Bwd IAT Std','Bwd IAT Max','Bwd IAT Min','Bwd PSH Flags','Bwd URG Flags','Fwd Header Len','Bwd Header Len','Fwd Pkts/s','Bwd Pkts/s','Pkt Len Min','Pkt Len Max','Pkt Len Mean','Pkt Len Std','Pkt Len Var','FIN Flag Cnt','SYN Flag Cnt','RST Flag Cnt','PSH Flag Cnt','ACK Flag Cnt','URG Flag Cnt','CWE Flag Count','ECE Flag Cnt','Down/Up Ratio','Pkt Size Avg','Fwd Seg Size Avg','Bwd Seg Size Avg','Subflow Fwd Pkts','Subflow Fwd Byts','Subflow Bwd Pkts','Subflow Bwd Byts','Init Bwd Win Byts','Fwd Act Data Pkts','Active Mean','Active Std','Active Max','Active Min','Idle Mean','Idle Std','Idle Max','Idle Min',Label
18780,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,106.4963,18780.0,0.0,18780,18780,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,53.2481,53.2481,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
6262,4,8,326,4434,326,0,81.5,163.0,1460,0,554.25,750.2544,760140.5302,1916.3207,569.2727,975.8644,3020,45,5974,1991.3333,1519.5319,3020,246,6262,894.5714,1276.3177,3390,114,0,0,80,184,638.7736,1277.5471,0,1460,366.1538,629.8875,396758.3077,0,1,0,0,0,0,0,0,2,396.6667,81.5,554.25,4,326,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7006,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285.4696,7006.0,0.0,7006,7006,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,142.7348,142.7348,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
10193,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,196.2131,10193.0,0.0,10193,10193,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,98.1065,98.1065,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7780,4,8,319,4434,319,0,79.75,159.5,1460,0,554.25,750.2544,610925.4499,1542.4165,707.2727,1214.829,3425,41,6948,2316.0,1889.2911,3905,227,7780,1111.4286,1427.5166,3425,108,0,0,80,184,514.1388,1028.2776,0,1460,365.6154,629.9277,396808.9231,0,1,0,0,0,0,0,0,2,396.0833,79.75,554.25,4,319,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
4529,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,441.5986,4529.0,0.0,4529,4529,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,220.7993,220.7993,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
24412,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,194617.4013,491.5615,2219.2727,6043.2954,20373,47,22642,7547.3333,11138.135,20373,307,24412,3487.4286,7532.2787,20523,157,0,0,80,184,163.8538,327.7077,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
14066,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,142.1868,14066.0,0.0,14066,14066,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,71.0934,71.0934,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7872,4,8,320,4434,320,0,80.0,160.0,1460,0,554.25,750.2544,603912.6016,1524.3902,715.6364,1294.2849,3440,45,7529,2509.6667,1942.4022,4004,314,7872,1124.5714,1536.5934,3440,139,0,0,80,184,508.1301,1016.2602,0,1460,365.6923,629.9216,396801.2308,0,1,0,0,0,0,0,0,2,396.1667,80.0,554.25,4,320,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7032,4,8,318,4434,318,0,79.5,159.0,1460,0,554.25,750.2544,675767.9181,1706.4846,639.2727,1026.7258,3416,50,5651,1883.6667,1540.5649,3416,335,7032,1004.5714,1223.2996,3540,148,0,0,80,184,568.8282,1137.6564,0,1460,365.5385,629.9339,396816.7692,0,1,0,0,0,0,0,0,2,396.0,79.5,554.25,4,318,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
