source_ip,dest_port,packet_count,http_method_GET,http_method_HEAD,http_method_POST,http_method_nan
144.239.21.200,0.9772881302504454,0.0,0.0,0.0,0.0,1.0
124.34.143.186,0.0,0.0,0.0,0.0,0.0,1.0
194.126.94.69,0.14813939193342476,0.0,0.0,0.0,0.0,1.0
156.17.217.221,0.9431336391003515,0.0,1.0,0.0,0.0,0.0
197.231.67.60,0.27274733241918453,0.0,1.0,0.0,0.0,0.0
135.92.129.63,0.6807414062130598,0.0,0.0,0.0,1.0,0.0
78.222.252.100,0.4593282582312797,0.0,0.0,0.0,1.0,0.0
104.45.216.153,0.6473592132015699,0.0,0.0,0.0,0.0,1.0
190.115.124.196,0.6722461266884171,0.0,0.0,0.0,0.0,1.0
197.227.6.234,0.5642189544028875,0.0,0.0,1.0,0.0,0.0
52.148.136.144,0.2010496950210412,0.0,0.0,0.0,1.0,0.0
13.234.166.166,0.4450643844468612,0.0,0.0,0.0,0.0,1.0
95.76.114.78,0.4004917490188662,0.0,0.0,0.0,0.0,1.0
220.150.234.129,0.8914999921194068,0.0,0.0,0.0,0.0,1.0
173.115.57.78,0.2280170851261683,0.0,0.0,0.0,0.0,1.0
140.155.169.26,0.36375242328242474,0.0,0.0,0.0,0.0,1.0
37.104.118.218,0.5741012183397166,0.0,1.0,0.0,0.0,0.0
87.154.35.13,0.17088278405598373,0.0,0.0,0.0,0.0,1.0
43.153.122.110,0.8313553044273173,0.0,0.0,0.0,1.0,0.0
22.35.244.164,0.1986855170457232,0.0,0.0,0.0,0.0,1.0
165.122.144.20,0.28841395180229173,0.0,0.0,0.0,0.0,1.0
145.247.51.61,0.5613819408325059,0.0,0.0,0.0,0.0,1.0
185.238.120.190,0.9470739357258815,0.0,0.0,0.0,0.0,1.0
109.219.189.183,0.0823679606600785,0.0,0.0,0.0,0.0,1.0
88.11.186.132,0.9820322473875834,0.0,0.0,0.0,0.0,1.0
126.89.146.193,0.6577773574794711,0.0,0.0,0.0,0.0,1.0
159.14.68.203,0.3669046605828487,0.0,0.0,0.0,0.0,1.0
89.251.226.33,0.33363279587687367,0.0,0.0,0.0,0.0,1.0
145.38.197.50,0.1853673144514319,0.0,0.0,0.0,0.0,1.0
20.63.227.113,0.852617145018677,0.0,0.0,0.0,0.0,1.0
159.111.213.134,0.6231657919208159,0.0,0.0,0.0,0.0,1.0
76.227.164.216,0.7475215534225417,0.0,0.0,0.0,0.0,1.0
207.242.144.52,0.36272794615978693,0.0,0.0,0.0,0.0,1.0
49.90.32.201,0.5833845571894652,0.0,0.0,0.0,0.0,1.0
28.254.123.81,0.05804844988730752,0.0,0.0,0.0,0.0,1.0
70.196.183.83,0.006619698330890348,0.0,0.0,0.0,0.0,1.0
148.81.198.231,0.2387031695746056,0.0,0.0,0.0,0.0,1.0
148.36.23.6,0.10991851466578405,0.0,0.0,0.0,0.0,1.0
69.58.94.143,0.30619257017668294,0.0,0.0,0.0,0.0,1.0
8.233.173.123,1.0,0.0,0.0,0.0,0.0,1.0
154.102.232.158,0.7418948098412849,0.0,0.0,0.0,0.0,1.0
33.79.248.68,0.2833388497486091,0.0,0.0,0.0,1.0,0.0
116.170.133.80,0.6141188708685991,0.0,1.0,0.0,0.0,0.0
118.235.118.216,0.46684634419279086,0.0,0.0,0.0,0.0,1.0
145.105.170.114,0.058016927514303276,0.0,0.0,0.0,0.0,1.0
208.252.234.133,0.6767380648415213,0.0,0.0,0.0,0.0,1.0
38.42.196.174,0.4851450817217521,0.0,0.0,0.0,0.0,1.0
37.118.253.99,0.9206109035888222,0.0,0.0,0.0,0.0,1.0
34.83.58.23,0.9176478005264237,0.0,0.0,0.0,0.0,1.0
68.19.152.238,0.4057559853105742,0.0,0.0,0.0,0.0,1.0
